Date,Open,High,Low,Close,10_SMA
,AAPL,AAPL,AAPL,AAPL,
2024-04-19,165.42888374733738,165.6179780634261,163.3088890664717,164.2245635986328,
2024-04-22,164.74210446317437,166.4739172082034,163.99562926284756,165.0605926513672,
2024-04-23,164.5728973951299,166.26490473113174,164.14491040339777,166.1156005859375,
2024-04-24,165.75730653407012,168.50434510258808,165.42887079721268,168.2256622314453,
2024-04-25,168.73327450279362,169.80820075027214,167.3597550998357,169.09158325195312,
2024-04-26,169.081624768213,170.53475474394267,168.38490238817732,168.5043487548828,
2024-04-29,172.55520693212748,175.20270935632288,172.28648678772151,172.68460083007812,
2024-04-30,172.51541154910535,174.1676137755898,169.20105955998108,169.52951049804688,
2024-05-01,168.78303163206596,171.89832652202932,168.31523926242042,168.5043487548828,
2024-05-02,171.69925171807526,172.60497864880503,170.08687006909776,172.21681213378906,168.41576232910157
2024-05-03,185.7727942523785,186.12115543095717,181.80155578938326,182.51817321777344,170.24512329101563
2024-05-06,181.4930249418685,183.3343214775735,179.5720873686165,180.8560333251953,171.82466735839844
2024-05-07,182.58783874817743,184.0310211595987,180.46785941606433,181.5427703857422,173.3673843383789
2024-05-08,181.9906634485607,182.20963072654146,180.5972339353124,181.8811798095703,174.7329360961914
2024-05-09,181.70202754035518,183.79216432803474,181.25414542501753,183.7025909423828,176.19403686523438
2024-05-10,184.28062242398164,184.46998840191682,181.51991222172592,182.43682861328125,177.58728485107423
2024-05-13,184.81883849593646,186.47328168344126,184.00157793065927,185.65602111816406,178.88442687988282
2024-05-14,186.8819036535792,187.66926595480425,185.6659889969534,186.8021697998047,180.6116928100586
2024-05-15,187.28056849688068,190.0113806876588,186.74236879853999,189.08450317382812,182.66970825195312
2024-05-16,189.83199615864385,190.45989075478766,189.02471179656044,189.2041015625,184.36843719482422
2024-05-17,188.87521403256983,190.17086260921994,188.5463175718117,189.2340087890625,185.04002075195314
2024-05-20,188.69582178398366,191.27714266640717,188.37688635675946,190.40008544921875,185.99442596435546
2024-05-21,190.44991454290118,192.08442053272114,190.28048580582154,191.70570373535156,187.0107192993164
2024-05-22,191.6259804985601,192.17414127105863,189.63267965869522,190.26055908203125,187.8486572265625
2024-05-23,190.34027016979292,190.36020743395642,186.0048504863481,186.25401306152344,188.10379943847656
2024-05-24,188.1875250894915,189.94162421863646,187.41012383078694,189.3436279296875,188.7944793701172
2024-05-28,190.868504773859,192.35351928350596,188.4665889665476,189.35360717773438,189.16423797607422
2024-05-29,188.97487295416659,191.6060292626522,188.8752018363686,189.652587890625,189.44927978515625
2024-05-30,190.12102272627732,191.53626445370173,189.99146851693155,190.6492462158203,189.60575408935546
2024-05-31,190.79874896001851,191.92496874276912,189.27387511297837,191.6060333251953,189.845947265625
2024-06-03,192.25383098769495,194.33684160969634,191.8751142263389,193.3800506591797,190.26055145263672
2024-06-04,193.98801176077237,194.66574186569684,192.38340418619828,193.69898986816406,190.59044189453124
2024-06-05,194.74547082752238,196.24044634116564,194.2172473626493,195.21389770507812,190.9412612915039
2024-06-06,195.03450583879902,195.84179017422778,193.5195930765027,193.82855224609375,191.29806060791014
2024-06-07,193.99798178181695,196.28031956711487,193.48969558531903,196.23048400878906,192.29570770263672
2024-06-10,196.2404356269631,196.63910486677477,191.50634675889475,192.4730987548828,192.60865478515626
2024-06-11,193.00133588013964,206.46609195915696,192.9814138224934,206.45611572265625,194.31890563964845
2024-06-12,206.67538853844061,219.46241499269527,206.20696163392407,212.35630798339844,196.5892776489258
2024-06-13,214.02069454325613,216.02395620562416,210.89121315624297,213.52236938476562,198.8765899658203
2024-06-14,213.13367378271622,214.44924427717243,210.59221246372425,211.77822875976562,200.89380950927733
2024-06-17,212.65527993528355,218.21659070332575,212.0074632920053,215.94422912597656,203.15022735595704
2024-06-18,216.86113841241473,217.89766325641614,212.28651711595563,213.5721893310547,205.1375473022461
2024-06-20,213.21341001933183,213.5223844137921,208.15043943546107,208.97764587402344,206.51392211914063
2024-06-21,209.6852627905662,211.18023828891836,206.41625091745033,206.79498291015625,207.81056518554686
2024-06-24,207.02420349475855,211.98751777765062,205.89798377862786,207.4427947998047,208.93179626464843
2024-06-25,208.44940858434205,210.67194975002218,207.91122410230182,208.36968994140625,210.52145538330078
2024-06-26,210.79155216910215,214.1402980033581,209.9344322470105,212.5356903076172,211.12941284179686
2024-06-27,213.97087836680484,215.01736433595826,211.63872006367095,213.3828582763672,211.23206787109376
2024-06-28,215.0472324898511,215.34623061165473,209.5955543096767,209.9144744873047,210.87127838134765
2024-07-01,211.37956216985054,216.78140506529675,211.2101334408119,216.02395629882812,211.2958511352539
2024-07-02,215.42595595595571,219.64179766849512,214.3794853085834,219.53216552734375,211.65464477539064
2024-07-03,219.26308073535034,220.80789184570312,218.29632866276663,220.80789184570312,212.37821502685546
2024-07-05,220.90754038733803,225.69146503075916,220.90754038733803,225.5818328857422,214.03863372802735
2024-07-08,226.32931907748747,227.08678305881674,222.50218547217585,227.056884765625,216.06482391357423
2024-07-09,227.1664984715379,228.631575647805,225.6117264169712,227.9139862060547,218.11194305419923
2024-07-10,228.53191911989683,232.2992560750062,228.48208356286247,232.1995849609375,220.49493255615235
2024-07-11,230.61492037011672,231.61157070495582,225.01375035477759,226.80772399902344,221.92213592529296
2024-07-12,228.1531925563972,231.86073301422448,227.91399100155513,229.76776123046875,223.5606262207031
2024-07-15,235.68787221439834,236.43535998230433,232.3092281117703,233.61483764648438,225.9306625366211
